,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Neivamyrmex_longiscapus,Polygynous,Polydomous,NA,Rare,NA,No,1.22377543162212,1.22377543162212,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,Ge,Gr,NA,Native,Co
Camponotus_brutus,NA,Polydomous,Independent,NA,8.69968140098951,Yes,2.484906649788,2.77258872223978,NA,NA,Om,NA,Ge,Night,Yes,NA,NA,NA,Ge,Ub,NA,Native,Af
Temnothorax_longispinosus,Oligogynous,Polydomous,Independent,Abundant,3.76120011569356,No,1.17865499634165,1.25276296849537,No,Yes,Om,NA,SF,Day,No,No,No,NA,TF,Ub,No,Native,Ne
Acanthoponera_minor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SF,Night,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_somalinus,NA,NA,NA,NA,NA,Yes,2.56494935746154,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Strumigenys_elongata,NA,NA,NA,NA,NA,No,1.09861228866811,1.09861228866811,NA,Yes,Pr,NA,SF,NA,NA,NA,No,No,Ge,Ub,No,Native,Neo
Gnamptogenys_haenschi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pseudomyrmex_pallidous,Polygynous,Polydomous,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Native,Ne
Strumigenys_fairchildi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Brachymyrmex_cordemoyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,Exotic,Co
Crematogaster_acis,NA,NA,NA,NA,NA,NA,1.48160454092422,1.48160454092422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_ancipitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Acropyga_yaeyamensis,NA,NA,NA,Rare,NA,No,0.916290731874155,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,No,No,No,RF,LF,No,Native,In
Camponotus_planatus,Polygynous,NA,Independent,NA,NA,Yes,1.38629436111989,1.94591014905531,No,No,Om,NA,SF,Day,No,Yes,No,No,Ge,Ub,Yes,Exotic,Co
Myrmelachista_joycei,Polygynous,Polydomous,Independent,NA,NA,No,NA,NA,NA,No,Om,NA,MR,Day,Yes,No,No,No,RF,TC,No,Native,Neo
Formica_yessensis,Oligogynous,Supercolonial,Dependent,NA,19.5390956631846,No,1.70474809223843,2.07944154167984,NA,No,NA,NA,NA,NA,NA,No,No,No,Ge,Ub,No,Native,Pa
Axinidris_palligastrion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Typhlomyrmex_prolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Pachycondyla_dismarginata,NA,Monodomous,Independent,NA,3.43398720448515,No,NA,NA,NA,Yes,NA,NA,NA,DayAndNight,NA,No,No,No,RF,Ub,No,Native,Neo
Pyramica_malaplax,NA,NA,NA,NA,NA,NA,1.1314021114911,1.1314021114911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pheidole_renae,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_tauricollis,NA,NA,NA,NA,NA,NA,1.66770682055808,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Polyrhachis_regesa,NA,NA,NA,NA,NA,No,1.68639895357023,1.75785791755237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pyramica_concolor,NA,NA,NA,NA,NA,NA,1.09861228866811,1.16315080980568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tetramorium_simillimum,Polygynous,NA,Dependent,NA,5.70711026474888,No,1.1314021114911,1.25276296849537,Yes,Yes,Pr,NA,NA,DayAndNight,NA,No,NA,NA,Ge,Ub,Yes,Exotic,Co
Myrmicocrypta_dilacerata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Anochetus_filicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Gnamptogenys_simulans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,RF,Un,NA,Native,Neo
Wasmannia_villosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Dolichoderus_plagiatus,Oligogynous,NA,Independent,NA,4.77068462446567,No,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Native,Ne
Cephalotes_grandinosus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TC,NA,Native,Neo
Acropyga_keira,NA,Monodomous,NA,NA,NA,No,NA,NA,NA,No,Ho,Unresponsive,HT,NA,NA,No,No,No,RF,Un,No,Native,Neo
Camponotus_aurosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_diabolus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Cataglyphis_abyssinicus,NA,NA,NA,NA,NA,NA,2.07944154167984,2.35137525716348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
